tool,nthreads,size,repetitions,usec
Pthreads,4,250000,8000,11512139
Pthreads,4,250000,4000,5751932
Pthreads,4,250000,2000,2881530
Pthreads,1,1000000,2000,7346566
Pthreads,2,500000,2000,3595174
Pthreads,4,250000,2000,1438810
Pthreads,4,1000000,2000,11462491
Pthreads,4,500000,2000,5742612 
Pthreads,4,250000,2000,2892375
OpenMP,4,250000,8000,11472043
OpenMP,4,250000,4000,5739137
OpenMP,4,250000,2000,2865963
OpenMP,1,1000000,2000,7043961
OpenMP,2,500000,2000,3195422
OpenMP,4,250000,2000,1398253
OpenMP,4,1000000,2000,11443664
OpenMP,4,500000,2000,5720374
OpenMP,4,250000,2000,2871369
